Code,Industry Title,Number of Business Establishments
11,Agriculture," Forestry, Fishing and Hunting,381,477"
21,Mining,"32,069"
22,Utilities,"46,245"
23,Construction,"1,490,099"
31,Manufacturing
32,Manufacturing
33,Manufacturing,"637,810"
42,Wholesale Trade,"697,359"
44,Retail Trade
45,Retail Trade,"1,794,062"
48,Transportation and Warehousing
49,Transportation and Warehousing	
51,Information,"358,572"
52,Finance and Insurance,"782,705"
53,Real Estate Rental and Leasing,"868,526"
54,Professional," Scientific, and Technical Services,2,294,049"
55,Management of Companies and Enterprises,"70,791"
56,Administrative and Support and Waste Management and Remediation Services,"1,647,950"
61,Educational Services,"424,190"
62,Health Care and Social Assistance,"1,745,915"
71,Arts," Entertainment, and Recreation,369,206"
72,Accommodation and Food Services,"907,516"
81,Other Services (except Public Administration),"1,915,436"
92,Public Administration,"258,094"
